agent,episode,test_link,ttr_steps,sla_violations,total_reward,avg_latency,avg_bandwidth
baseline,0,r3-r4,2.3,7,122.2262,22.22,848.9
baseline,1,r1-r4,200.0,200,57.5587,48.23,710.84
baseline,2,r3-r4,3.5,7,122.1583,22.06,848.71
baseline,3,r1-r4,200.0,200,56.1808,49.77,700.81
baseline,4,r3-r4,3.0,6,122.1772,22.27,847.34
baseline,5,r1-r4,200.0,200,57.7219,48.17,710.36
baseline,6,r3-r4,4.0,8,122.2032,22.23,847.92
baseline,7,r1-r4,200.0,200,58.1421,47.53,713.85
baseline,8,r3-r4,8.0,8,121.6724,22.19,847.55
baseline,9,r1-r4,200.0,200,57.2639,48.57,708.18
baseline,10,r3-r4,2.0,10,120.5417,23.49,841.21
baseline,11,r1-r4,200.0,200,57.5119,48.34,709.86
baseline,12,r3-r4,2.8,11,121.4254,22.56,846.45
baseline,13,r1-r4,200.0,200,57.4061,48.43,708.65
baseline,14,r3-r4,4.0,8,123.15,21.55,851.93
baseline,15,r1-r4,200.0,200,57.1091,48.77,706.89
baseline,16,r3-r4,3.0,6,122.4929,21.6,851.48
baseline,17,r1-r4,200.0,200,57.7421,47.97,711.15
baseline,18,r3-r4,4.0,8,121.2834,22.01,849.11
baseline,19,r1-r4,200.0,200,57.5713,48.22,709.59
baseline,20,r3-r4,2.3,7,121.8059,22.26,847.47
baseline,21,r1-r4,200.0,200,57.0545,48.88,706.71
baseline,22,r3-r4,6.0,6,123.0116,21.63,850.8
baseline,23,r1-r4,200.0,200,57.9615,47.68,712.09
baseline,24,r3-r4,5.0,5,121.6073,22.28,847.8
baseline,25,r1-r4,200.0,200,56.6016,49.44,703.36
baseline,26,r3-r4,1.8,16,118.3567,24.28,836.8
baseline,27,r1-r4,200.0,200,57.5479,48.22,709.49
baseline,28,r3-r4,6.0,6,120.9544,23.23,842.04
baseline,29,r1-r4,200.0,200,57.4154,48.43,709.11
baseline,30,r3-r4,2.5,5,121.2529,22.64,846.11
baseline,31,r1-r4,200.0,200,57.19,48.55,708.48
baseline,32,r3-r4,6.0,6,122.2294,21.84,849.97
baseline,33,r1-r4,200.0,200,57.6571,48.06,710.47
baseline,34,r3-r4,2.3,7,119.8162,23.66,840.21
baseline,35,r1-r4,200.0,200,56.8844,49.14,705.82
baseline,36,r3-r4,7.0,7,121.7216,22.61,846.16
baseline,37,r1-r4,200.0,200,57.48,48.25,710.09
baseline,38,r3-r4,1.6,8,120.9515,22.8,844.49
baseline,39,r1-r4,200.0,200,56.9231,49.14,705.53
baseline,40,r3-r4,7.0,7,122.4935,21.89,849.56
baseline,41,r1-r4,200.0,200,57.1037,48.7,706.72
baseline,42,r3-r4,1.6,11,119.6061,23.68,839.77
baseline,43,r1-r4,200.0,200,57.7983,48.04,711.09
baseline,44,r3-r4,2.0,8,121.4253,22.86,844.04
baseline,45,r1-r4,200.0,200,57.2404,48.62,707.5
baseline,46,r3-r4,3.0,9,119.6637,23.45,841.25
baseline,47,r1-r4,200.0,200,57.8831,47.92,711.14
baseline,48,r3-r4,4.0,8,121.688,22.72,845.54
baseline,49,r1-r4,200.0,200,56.1748,49.77,701.0
