agent,episode,test_link,ttr_steps,sla_violations,total_reward,avg_latency,avg_bandwidth
fewshot,0,r3-r4,200.0,200,59.7765,45.66,723.24
fewshot,1,r1-r4,15.0,15,118.9534,23.53,841.44
fewshot,2,r3-r4,200.0,200,59.9825,45.55,724.37
fewshot,3,r1-r4,16.0,32,113.1725,25.94,828.09
fewshot,4,r3-r4,200.0,200,61.2486,43.79,733.09
fewshot,5,r1-r4,9.0,18,117.6475,24.19,837.47
fewshot,6,r3-r4,200.0,200,59.6076,45.87,722.78
fewshot,7,r1-r4,6.5,13,118.9627,23.85,839.5
fewshot,8,r3-r4,200.0,200,60.065,45.31,725.24
fewshot,9,r1-r4,15.0,15,117.9244,24.25,837.9
fewshot,10,r3-r4,200.0,200,58.9862,46.53,718.77
fewshot,11,r1-r4,19.0,19,117.4881,24.16,837.56
fewshot,12,r3-r4,200.0,200,59.3501,46.1,721.31
fewshot,13,r1-r4,6.5,13,119.6484,23.54,841.69
fewshot,14,r3-r4,200.0,200,59.7485,45.63,723.02
fewshot,15,r1-r4,7.0,14,119.0319,23.83,838.95
fewshot,16,r3-r4,200.0,200,59.6694,45.78,723.05
fewshot,17,r1-r4,13.0,13,118.6338,23.85,839.3
fewshot,18,r3-r4,200.0,200,60.4069,44.8,727.76
fewshot,19,r1-r4,10.0,10,120.9103,22.45,846.12
fewshot,20,r3-r4,200.0,200,59.9761,45.4,724.6
fewshot,21,r1-r4,13.0,13,118.3975,23.92,839.21
fewshot,22,r3-r4,200.0,200,64.4095,40.45,751.32
fewshot,23,r1-r4,6.5,13,119.9407,23.04,843.65
fewshot,24,r3-r4,200.0,200,59.574,45.82,722.73
fewshot,25,r1-r4,11.0,11,120.0135,23.46,841.64
fewshot,26,r3-r4,200.0,200,61.3016,43.81,733.03
fewshot,27,r1-r4,11.0,11,119.5439,23.51,841.17
fewshot,28,r3-r4,200.0,200,59.8164,45.55,723.78
fewshot,29,r1-r4,3.4,17,118.1734,24.11,838.31
